epoch	T@0.999	recall@0.999	spec@0.999	fp@0.999	T@0.9999	recall@0.9999	spec@0.9999	fp@0.9999	auroc	recall@0.5	spec@0.5	f1@0.5
0	0.7166682481765748	0.14222851712637624	0.9990001760786985	2771	0.7694200277328492	0.030294226241276413	0.9999000536895704	277	0.8849296494505017	0.3977532034404072	0.9879414956875151	0.4971798431606941
1	0.6156924962997438	0.3545846876456453	0.9990001760786985	2771	0.7556714415550233	0.1812871868436503	0.9999000536895704	277	0.9288038223214902	0.47803744257413155	0.9958664803888742	0.6178676065042813
2	0.6072115898132325	0.3997022026111747	0.9990001760786985	2771	0.762160897254944	0.18711602597858523	0.9999000536895704	277	0.9458056967536389	0.4901490802781863	0.9973259851747509	0.6386280919389755
3	0.5708698630332948	0.4457518476148971	0.9990001760786985	2771	0.7476814389228822	0.2495990024998033	0.9999000536895704	277	0.9497342644359679	0.5059105518330882	0.9980256093477583	0.6574401812261079
4	0.5925875902175904	0.43859744693214214	0.9990001760786985	2771	0.7454151511192323	0.2636838505444487	0.9999000536895704	277	0.9479195074882572	0.5265445213149086	0.9974833013890011	0.6712863646886333
5	0.5510482192039491	0.49357496080816887	0.9990001760786985	2771	0.7233692407608033	0.3172752749480973	0.9999000536895704	277	0.9562380189751734	0.5358960856591188	0.9983662206006304	0.6855945918738724
6	0.47153437137603765	0.5004388274530455	0.9990001760786985	2771	0.6896034479141236	0.31447283204106213	0.9999000536895704	277	0.9583614422399219	0.47148832113695655	0.9992942419379048	0.635717054658968
7	0.5599359869956971	0.5089248424760764	0.9990001760786985	2771	0.6987314820289613	0.3324496256347866	0.9999000536895704	277	0.9611372889525535	0.5684056339392178	0.9979667961759171	0.7093927994077566
8	0.5764435529708863	0.5187606302167505	0.9990001760786985	2771	0.7351890206336976	0.337176856542766	0.9999000536895704	277	0.9607655184422044	0.5905830654972671	0.9976806682908242	0.7248684127438125
9	0.5467193722724916	0.52867510425935	0.9990001760786985	2771	0.7440494298934938	0.33918638363809145	0.9999000536895704	277	0.9625881593724056	0.5678971993729307	0.9984286419425233	0.7124286234965375
10	0.5373511910438539	0.5449873799277296	0.9990001760786985	2771	0.77838271856308	0.36237463153625926	0.9999000536895704	277	0.9654720026563005	0.5727454861300261	0.9986169884192174	0.7177505300165737
11	0.5444608330726625	0.5382264107546016	0.9990001760786985	2771	0.7483515739440919	0.33686816412752024	0.9999000536895704	277	0.9661436926496748	0.5725699551488079	0.9985076608666535	0.716785693989278
12	0.48269701004028326	0.544012880342346	0.9990001760786985	2771	0.7001368403434755	0.3594148160253733	0.9999000536895704	277	0.9653787234420923	0.5287416849763639	0.9991953780784907	0.6856804213533858
13	0.5425084829330445	0.5629641735214541	0.9990001760786985	2771	0.7351925373077394	0.4007614412909396	0.9999000536895704	277	0.9672179481202969	0.596290848783086	0.9984051888371879	0.7347807926965706
14	0.5486923456192018	0.5508706941947668	0.9990001760786985	2771	0.7524849772453309	0.3742623159194494	0.9999000536895704	277	0.9675592755680508	0.5920417884791148	0.9983633340645891	0.7311426884236177
15	0.5683337450027467	0.5506043713267116	0.9990001760786985	2771	0.7870202660560609	0.37776082995890153	0.9999000536895704	277	0.9678408540856234	0.60975831199724	0.9980129807525777	0.7422087968761512
16	0.5658216476440431	0.5688051182413006	0.9990001760786985	2771	0.7732703685760499	0.384237317886607	0.9999000536895704	277	0.9705466838044693	0.6136563103387748	0.998316067036913	0.7474932169399552
17	0.5250641703605653	0.5685690593355245	0.9990001760786985	2771	0.7389212846755983	0.3918335724186353	0.9999000536895704	277	0.9693549712244849	0.5929920768946754	0.9986664203489245	0.7341904008932887
18	0.5418472290039064	0.5694225030717922	0.9990001760786985	2771	0.7625171542167665	0.3970389739306229	0.9999000536895704	277	0.9706878396076709	0.5994261952751903	0.9985888446928148	0.7386195400455703
19	0.5410736203193666	0.5851355522870476	0.9990001760786985	2771	0.7640677094459535	0.4110572412582545	0.9999000536895704	277	0.9710543994055336	0.6144129093957498	0.9985661132214897	0.7499852232762951
20	0.5720139741897584	0.5828415439462996	0.9990001760786985	2771	0.75796377658844	0.40885402480434346	0.9999000536895704	277	0.9711473968912262	0.6385030233698317	0.9979898884642474	0.7636576864188683
21	0.5602214336395265	0.5839552577581667	0.9990001760786985	2771	0.7570647001266481	0.40222621706524303	0.9999000536895704	277	0.9717635507795435	0.6280135340439311	0.9983276131810782	0.7584392041052032
22	0.5294910669326783	0.5882103708545937	0.9990001760786985	2771	0.7347423434257508	0.41063959857880433	0.9999000536895704	277	0.9723113856409487	0.6095464642612869	0.9987071926705077	0.7473441656988286
23	0.526150941848755	0.5922657417999794	0.9990001760786985	2771	0.726115643978119	0.4280232185118604	0.9999000536895704	277	0.9731224341140093	0.6137773661878908	0.99868987345426	0.7504514371984251
24	0.5218353271484376	0.6015567782196316	0.9990001760786985	2771	0.7745051980018617	0.4278476875306423	0.9999000536895704	277	0.9740012428928472	0.6162590110947685	0.9987880156796638	0.753101122099517
