epoch,threshold,recall,specific
120,0.8249316811561584,0.794484373923608,0.9990000166663834
121,0.8547975420951843,0.794782888240814,0.9990000166663834
122,0.8458172082901001,0.7987554249236309,0.9990000166663834
123,0.8489511013031006,0.7974006291763118,0.9990000166663834
124,0.8611395359039307,0.7944154860042528,0.9990000166663834
125,0.8656589984893799,0.7941628969666171,0.9990000166663834
126,0.8568089008331299,0.7956325059128615,0.9990000166663834
127,0.8644787669181824,0.7947599256010289,0.9990000166663834
128,0.8835129141807556,0.7955636179935063,0.9990000166663834
129,0.8445733189582825,0.7965969367838345,0.9990000166663834
130,0.8546962738037109,0.7938643826494112,0.9990000166663834
131,0.8807176351547241,0.7848630278536641,0.9990000166663834
132,0.8597250580787659,0.7948517761601692,0.9990000166663834
133,0.8818095326423645,0.7883533491009946,0.9990000166663834
134,0.8638781309127808,0.7913614549128387,0.9990000166663834
135,0.8744176030158997,0.7912696043536984,0.9990000166663834
136,0.877803385257721,0.7922340352246713,0.9990000166663834
137,0.8919028639793396,0.7870215159934606,0.9990000166663834
138,0.872433066368103,0.7938643826494112,0.9990000166663834
139,0.8879165053367615,0.7903970240418657,0.9990000166663834
140,0.8690909147262573,0.7939791958483365,0.9990000166663834
141,0.8924117684364319,0.7853452432891506,0.9990000166663834
142,0.8901239037513733,0.7920044088268205,0.9990000166663834
143,0.8878834247589111,0.7906266504397165,0.9990000166663834
144,0.880370557308197,0.7946910376816737,0.9990000166663834
145,0.8884111046791077,0.7901903602838002,0.9990000166663834
146,0.877281129360199,0.794461411283823,0.9990000166663834
147,0.8865767121315002,0.792440698982737,0.9990000166663834
148,0.8775489330291748,0.7968954511010403,0.9990000166663834
149,0.8873398303985596,0.7915681186709043,0.9990000166663834
