epoch,threshold,recall,specific
120,0.8506794571876526,0.7945991871225334,0.9990000166663834
121,0.8234084844589233,0.7924177363429519,0.9990000166663834
122,0.8170602321624756,0.7906955383590717,0.9990000166663834
123,0.820311427116394,0.7911088658752029,0.9990000166663834
124,0.8485811352729797,0.7886748260579856,0.9990000166663834
125,0.8533702492713928,0.7919125582676804,0.9990000166663834
126,0.8745843172073364,0.7907644262784269,0.9990000166663834
127,0.8789724707603455,0.7920962593859608,0.9990000166663834
128,0.8795392513275146,0.7883763117407797,0.9990000166663834
129,0.8618818521499634,0.7880548347837887,0.9990000166663834
130,0.8423960208892822,0.7905577625203613,0.9990000166663834
131,0.8760496377944946,0.7897999954074539,0.9990000166663834
132,0.8450173139572144,0.791131828514988,0.9990000166663834
133,0.8596677780151367,0.7903510987622956,0.9990000166663834
134,0.8119569420814514,0.7894325931708929,0.9990000166663834
135,0.8567388653755188,0.7897540701278838,0.9990000166663834
136,0.8809863328933716,0.7875726193483022,0.9990000166663834
137,0.8398717641830444,0.794461411283823,0.9990000166663834
138,0.8712823390960693,0.7912466417139133,0.9990000166663834
139,0.8554604053497314,0.7896162942891735,0.9990000166663834
140,0.8696220517158508,0.7896622195687435,0.9990000166663834
141,0.8474028706550598,0.791131828514988,0.9990000166663834
142,0.8533375263214111,0.7920044088268205,0.9990000166663834
143,0.8649564385414124,0.7916370065902595,0.9990000166663834
144,0.8628178834915161,0.7914073801924089,0.9990000166663834
145,0.8637440800666809,0.7895703690096033,0.9990000166663834
146,0.8687750697135925,0.7896851822085286,0.9990000166663834
147,0.8730553984642029,0.7909710900364925,0.9990000166663834
148,0.871584951877594,0.79014443500423,0.9990000166663834
149,0.8877447247505188,0.7886289007784154,0.9990000166663834
