epoch,threshold,recall,specific
120,0.8611339330673218,0.6556063285035097,0.9990000166663834
121,0.8686761260032654,0.6536774667615639,0.9990000166663834
122,0.8749372363090515,0.6534019150841431,0.9990000166663834
123,0.8540125489234924,0.6545959723529667,0.9990000166663834
124,0.8803186416625977,0.6560655812992111,0.9990000166663834
125,0.8849667906761169,0.6551700383475935,0.9990000166663834
126,0.8816549181938171,0.655353739465874,0.9990000166663834
127,0.902920663356781,0.653011550207797,0.9990000166663834
128,0.9083393812179565,0.646398309949697,0.9990000166663834
129,0.893383264541626,0.6516337918206928,0.9990000166663834
130,0.8956780433654785,0.6557670669820053,0.9990000166663834
131,0.9086816310882568,0.6551011504282382,0.9990000166663834
132,0.9010379314422607,0.6548026361110323,0.9990000166663834
133,0.9013216495513916,0.6539759810787699,0.9990000166663834
134,0.8882213234901428,0.6495901168798216,0.9990000166663834
135,0.8963456153869629,0.6524374842131702,0.9990000166663834
136,0.8994271159172058,0.6537922799604893,0.9990000166663834
137,0.9022825360298157,0.6562722450572768,0.9990000166663834
138,0.8989442586898804,0.6562033571379216,0.9990000166663834
139,0.8784530162811279,0.657351489127175,0.9990000166663834
140,0.8854345679283142,0.6552848515465188,0.9990000166663834
141,0.8876942992210388,0.6573285264873899,0.9990000166663834
142,0.8937536478042603,0.656341132976632,0.9990000166663834
143,0.8968190550804138,0.6533789524443581,0.9990000166663834
144,0.8936384320259094,0.6540448689981251,0.9990000166663834
145,0.9024763703346252,0.6549633745895278,0.9990000166663834
146,0.9139425754547119,0.6478908815357265,0.9990000166663834
147,0.9128605723381042,0.6555833658637247,0.9990000166663834
148,0.9151517152786255,0.6546189349927518,0.9990000166663834
149,0.9220703840255737,0.6537922799604893,0.9990000166663834
